API Key,API Key,
API Secret,API Secret,
Access Token,Токен за достъп,
Action,Действие,
Action Type,Тип на действието,
Active,Активен,
All,всичко,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Икона на файл с разширение .ico. Трябва да бъде 16 х 16 пиксела. Образувани с помощта на уеб иконата генератор. [favicon-generator.org],
Assignment,назначение,
Attachments,Приложения,
Avatar,Аватар,
BCC,BCC,
Basic,Основен,
CANCELLED,ОТМЕНЕН,
CC,CC,
Client ID,Клиентски идентификационен номер,
Client Secret,Клиентска тайна,
Columns,Колони,
Comment,коментар,
Content,Съдържание,
Created By,Създаден от,
DRAFT,Чернова,
Description,Описание,
DocType,DocType,
Email,електронна поща,
Enabled,Активен,
End Date,Крайна Дата,
Error,Грешка,
Facebook,Facebook,
Failed,Не успя,
Filters,Филтри,
From User,От потребителя,
Full Name,Пълно Име,
Group By,Групирай по,
Icon,икона,
Inactive,неактивен,
Is Default,Е по подразбиране,
Is Standard,Е стандартна,
Kanban,Канбан,
Keyboard Shortcuts,Комбинация от клавиши,
Label,етикет,
List,Списък,
Location,Местоположение,
Mention,Споменавам,
Message,съобщение,
Name,име,
New,нов,
Phone,Телефон,
Public,Публичен,
Pull,дърпам,
Push,тласък,
Read,Четене,
Recipients,Получатели,
Reference Doctype,Референтен Doctype,
Refresh Token,Обновяване Token,
Rejected,Отхвърлени,
Reload,Презареди,
Sales Manager,Мениджър Продажби,
Sales User,Продажби - потребител,
Script,Скрипт,
Sender,Подател,
Session Defaults,Сесия по подразбиране,
Settings,Настройки,
Source,Източник,
Source Name,Източник Име,
Start Date,Начална Дата,
Status,Статус,
Subject,Предмет,
Success,успех,
System Manager,Мениджър на система,
Task,задача,
Template,Шаблон,
Title,Заглавие,
Title Field,Заглавие на поле,
To User,За потребителя,
Type,Тип,
User,потребител,
View Website,Виж Website,
list,списък,
