API Key,ключ API,
API Secret,API Секретний,
Access Token,Маркер доступу,
Action,Дія,
Action Type,Тип дії,
Active,Активний,
All,ВСІ,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Значок файлу з розширенням .ico розширенням. Повинно бути 16 х 16 пікселів. Генерується з використанням генератора FavIcon. [favicon-generator.org],
Assignment,призначення,
Attachments,Долучення,
Avatar,Аватар,
BCC,BCC,
Basic,Основний,
CANCELLED,Скасовано,
CC,CC,
Client ID,ідентифікатор клієнта,
Client Secret,клієнт Secret,
Columns,колони,
Comment,Прокоментуйте,
Content,Зміст,
Created By,Створений,
DRAFT,Чернетка,
Description,Опис,
DocType,DocType,
Email,EMail,
Enabled,Включено,
End Date,Дата закінчення,
Error,Помилка,
Facebook,Facebook,
Failed,Не вдалося,
Filters,Фільтри,
From User,Від користувача,
Full Name,Повне ім&#39;я,
Group By,Групувати за,
Icon,Значок,
Inactive,Неактивний,
Is Default,За замовчуванням,
Is Standard,СТАНДАРТ,
Kanban,Kanban,
Keyboard Shortcuts,Гарячі клавіши,
Label,Етикетка,
List,Список,
Location,Місцезнаходження,
Mention,Згадування,
Message,повідомлення,
Name,Ім&#39;я,
New,Нові,
Phone,Телефон,
Public,Громадської,
Pull,Витягніть,
Push,Натисніть,
Read,Прочитати,
Recipients,Одержувачі,
Reference Doctype,Посилання DocType,
Refresh Token,Поновити токен,
Rejected,Відхилено,
Reload,Оновити,
Sales Manager,Менеджер з продажу,
Sales User,Продажі Користувач,
Script,Сценарій,
Sender,Відправник,
Session Defaults,За замовчуванням сесії,
Settings,Налаштування,
Source,Джерело,
Source Name,ім&#39;я джерела,
Start Date,Дата початку,
Status,Стан,
Subject,Тема,
Success,Успіх,
System Manager,Менеджер системи,
Task,Завдання,
Template,Шаблон,
Title,Назва,
Title Field,Назва Область,
To User,Користувачеві,
Type,Тип,
User,Користувач,
View Website,Подивитися веб-сайт,
list,список,
