API Key,API යතුර,
API Secret,API රහස්,
Access Token,ටෝකනය,
Action,කටයුතු,
Action Type,ක්‍රියා වර්ගය,
Active,ක්රියාකාරී,
All,සෑම,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico දීර්ඝ සමග අයිකනය ගොනුව. 16 x 16 px විය යුතුය. එය favicon උත්පාදක භාවිතයෙන්. [Favicon-generator.org],
Assignment,පැවරුම,
Attachments,ඇමුණුම්,
Avatar,අවතාර්,
BCC,බීසීඩී,
Basic,මූලික,
CANCELLED,අවලංගු කළා,
CC,CC,
Client ID,සේවාලාභී ID,
Client Secret,සේවාදායක රහස,
Columns,තීරු,
Comment,අදහස් දක්වන්න,
Content,අන්තර්ගත,
Created By,නිර්මාණය කළේ,
DRAFT,කෙටුම්පත්,
Description,විස්තර,
DocType,DocType,
Email,විද්යුත් තැපෑල,
Enabled,සක්රීය,
End Date,අවසාන දිනය,
Error,දෝෂ,
Facebook,ෆේස්බුක්,
Failed,අසමත්,
Filters,පෙරහන්,
From User,පරිශීලකයාගෙන්,
Full Name,සම්පූර්ණ නම,
Group By,කණ්ඩායම විසින්,
Icon,අයිකනය,
Inactive,අක්රියයි,
Is Default,පෙරනිමි වේ,
Is Standard,සම්මත වේ,
Kanban,Kanban,
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං,
Label,ලේබලය,
List,ලැයිස්තුව,
Location,ස්ථානය,
Mention,සඳහන් කරන්න,
Message,පණිවුඩය,
Name,නම,
New,අලුත්,
Phone,දුරකථන,
Public,පොදු,
Pull,අදින්න,
Push,තල්ලුව,
Read,කියවන්න,
Recipients,ලබන්නන්,
Reference Doctype,විමර්ශන DocType,
Refresh Token,නැවුම් කරන්න ටෝකනය,
Rejected,ප්රතික්ෂේප,
Reload,රීලෝඩ්,
Sales Manager,අලෙවි කළමනාකරු,
Sales User,විකුණුම් පරිශීලක,
Script,කේත රචනය,
Sender,යවන්නාගේ,
Session Defaults,සැසි පෙරනිමි,
Settings,සැකසුම්,
Source,මූලාශ්රය,
Source Name,මූලාශ්රය නම,
Start Date,ආරම්භක දිනය,
Status,තත්ත්වය,
Subject,විෂය,
Success,සාර්ථකත්වය,
System Manager,පද්ධතිය කළමනාකරු,
Task,කාර්ය,
Template,සැකිල්ල,
Title,ශීර්ෂය,
Title Field,මාතෘකාව ක්ෂේත්ර,
To User,පරිශීලකයාට,
Type,වර්ගය,
User,පරිශීලක,
View Website,දැක්ම වෙබ් අඩවිය,
list,ලැයිස්තුව,
