API Key,የኤ ፒ አይ ቁልፍ,
API Secret,የኤ ፒ አይ ሚስጥር,
Access Token,የመዳረሻ ማስመሰያ,
Action,እርምጃ,
Action Type,የድርጊት አይነት,
Active,ገቢር,
All,ሁሉም,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico ቅጥያ ጋር አንድ አዶ ፋይል. 16 x 16 ፒክስል መሆን አለበት. አንድ የፋቪኮን ጄኔሬተር በመጠቀም የተፈጠረ. [Favicon-generator.org],
Assignment,የምደባ,
Attachments,አባሪዎች,
Avatar,አምሳያ,
BCC,BCC,
Basic,መሠረታዊ,
CANCELLED,ተሰርዟል,
CC,ዝግ መግለጫ,
Client ID,የደንበኛ መታወቂያ,
Client Secret,የደንበኛ ሚስጥር,
Columns,አምዶች,
Comment,አስተያየት,
Content,ይዘት,
Created By,የተፈጠረ,
DRAFT,ረቂቅ,
Description,መግለጫ,
DocType,DocType,
Email,ኢሚል,
Enabled,ነቅቷል,
End Date,የመጨረሻ ቀን,
Error,ስሕተት,
Facebook,ፌስቡክ,
Failed,አልተሳካም,
Filters,ማጣሪያዎች,
From User,ከተጠቃሚ,
Full Name,ሙሉ ስም,
Group By,በቡድን,
Icon,አዶ,
Inactive,ገባሪ አይደለም,
Is Default,ነባሪ ነው,
Is Standard,መደበኛ ነው,
Kanban,Kanban,
Keyboard Shortcuts,የቁልፍ ሰሌዳ አቋራጮች።,
Label,ምልክት,
List,ዝርዝር,
Location,አካባቢ,
Mention,መጥቀስ,
Message,መልእክት,
Name,ስም,
New,አዲስ,
Phone,ስልክ,
Public,ሕዝባዊ,
Pull,ይጎትቱ,
Push,ይግፉ,
Read,አነበበ,
Recipients,ተቀባዮች,
Reference Doctype,የማጣቀሻ DocType,
Refresh Token,አድስ ማስመሰያ,
Rejected,ተቀባይነት አላገኘም,
Reload,ዳግም ጫን,
Sales Manager,የሽያጭ ሃላፊ,
Sales User,የሽያጭ ተጠቃሚ,
Script,ስክሪፕት,
Sender,የላኪ,
Session Defaults,የክፍለ ጊዜ ነባሪዎች።,
Settings,ቅንብሮች,
Source,ምንጭ,
Source Name,ምንጭ ስም,
Start Date,ቀን ጀምር,
Status,ሁናቴ,
Subject,ትምህርት,
Success,ስኬት,
System Manager,የስርዓት አስተዳዳሪ,
Task,ተግባር,
Template,አብነት,
Title,አርእስት,
Title Field,የርእስ መስክ,
To User,ለተጠቃሚ።,
Type,ዓይነት,
User,ተጠቃሚው,
View Website,ይመልከቱ ድር ጣቢያ,
list,ዝርዝር,
