API Key,កូនសោ API,
API Secret,សម្ងាត់ API របស់,
Access Token,ការចូលដំណើរការ Token,
Action,សកម្មភាព,
Action Type,ប្រភេទសកម្មភាព,
Active,សកម្ម,
All,ទាំងអស់,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],ឯកសាររូបតំណាងជាមួយផ្នែកបន្ថែម .ico ។ គួរជា 16 x 16 ភិចសែល។ បង្កើតដោយប្រើម៉ាស៊ីនភ្លើងឱ្យរូបតំណាងសំណព្វមួយ។ [favicon-generator.org],
Assignment,ការចាត់តាំង,
Attachments,ឯកសារភ្ជាប់,
Avatar,Avatar,
BCC,BCC,
Basic,ជាមូលដ្ឋាន,
CANCELLED,លុបចោល,
CC,ចម្លងជូន,
Client ID,លេខសម្គាល់អតិថិជន,
Client Secret,អតិថិជនសម្ងាត់,
Columns,ជួរឈរ,
Comment,វិចារ,
Content,មាតិការ,
Created By,បានបង្កើតដោយ,
DRAFT,សេចក្តីព្រាង,
Description,ការពិពណ៌នាសង្ខេប,
DocType,ប្រភេទឯកសារ,
Email,អេមមីល,
Enabled,បានបើក,
End Date,កាលបរិច្ឆេទបញ្ចប់,
Error,កំហុសក្នុងការ,
Facebook,ហ្វេសប៊ុក,
Failed,បានបរាជ័យ,
Filters,តម្រង,
From User,ពីអ្នកប្រើប្រាស់,
Full Name,ឈ្មោះពេញ,
Group By,ដាក់ជាក្រុម,
Icon,រូបតំណាង,
Inactive,អសកម្ម,
Is Default,ជាលំនាំដើម,
Is Standard,គឺ Standard,
Kanban,កានបាន,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Label,ស្លាក,
List,បញ្ជី,
Location,ទីតាំង,
Mention,និយាយ,
Message,សារ,
Name,ឈ្មោះ,
New,ថ្មី,
Phone,ទូរស័ព្ទ,
Public,សាធារណៈ,
Pull,ទាញ,
Push,រុញ,
Read,អាន,
Recipients,អ្នកទទួល,
Reference Doctype,ចង្អុលបង្ហាញសេចក្តីយោង,
Refresh Token,ធ្វើឱ្យស្រស់ Token,
Rejected,ច្រានចោល,
Reload,ផ្ទុកឡើងវិញ,
Sales Manager,ប្រធានផ្នែកលក់,
Sales User,ការលក់របស់អ្នកប្រើប្រាស់,
Script,ស្គ្រីប,
Sender,អ្នកផ្ញើ,
Session Defaults,លំនាំដើមវេន។,
Settings,ការកំណត់,
Source,ប្រភព,
Source Name,ឈ្មោះប្រភព,
Start Date,ថ្ងៃចាប់ផ្តើម,
Status,ស្ថានភាព,
Subject,ប្រធានបទ,
Success,ជោគជ័យ,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Task,ភារកិច្ច,
Template,ទំព័រគំរូ,
Title,ចំណងជើង,
Title Field,ចំណងជើងវាល,
To User,ដល់អ្នកប្រើប្រាស់។,
Type,ប្រភេទ,
User,អ្នកប្រើ,
View Website,មើលគេហទំព័រ,
list,បញ្ជី,
