API Key,คีย์ API,
API Secret,API ลับ,
Access Token,เข้าสู่ Token,
Action,ดำเนินการ,
Action Type,ประเภทการกระทำ,
Active,ใช้งาน,
All,ทั้งหมด,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],ไฟล์ที่มีนามสกุลไอคอน .ico ควรจะเป็น 16 x 16 พิกเซล สร้างขึ้นโดยใช้เครื่องกำเนิดไฟฟ้า favicon [favicon-generator.org],
Assignment,การมอบหมาย,
Attachments,สิ่งที่แนบมา,
Avatar,รูปส่วนตัว,
BCC,BCC,
Basic,ขั้นพื้นฐาน,
CANCELLED,ยกเลิกแล้ว,
CC,CC,
Client ID,รหัสลูกค้า,
Client Secret,ความลับของลูกค้า,
Columns,คอลัมน์,
Comment,คิดเห็น,
Content,เนื้อหา,
Created By,สร้างโดย,
DRAFT,ร่าง,
Description,คำอธิบาย,
DocType,DocType,
Email,อีเมล,
Enabled,เปิดการใช้งาน,
End Date,วันที่สิ้นสุด,
Error,ความผิดพลาด,
Facebook,Facebook,
Failed,ล้มเหลว,
Filters,ตัวกรอง,
From User,จากผู้ใช้,
Full Name,ชื่อเต็ม,
Group By,จัดกลุ่มตาม,
Icon,ไอคอน,
Inactive,เฉื่อยชา,
Is Default,เป็นค่าเริ่มต้น,
Is Standard,เป็นมาตรฐาน,
Kanban,คันบัน,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Label,ฉลาก,
List,รายการ,
Location,ตำแหน่ง,
Mention,กล่าวถึง,
Message,ข่าวสาร,
Name,ชื่อ,
New,ใหม่,
Phone,โทรศัพท์,
Public,สาธารณะ,
Pull,ดึง,
Push,ดัน,
Read,อ่าน,
Recipients,ผู้รับ,
Reference Doctype,Doctype อ้างอิง,
Refresh Token,รีเฟรช Token,
Rejected,ปฏิเสธ,
Reload,โหลด,
Sales Manager,ผู้จัดการฝ่ายขาย,
Sales User,ผู้ขาย,
Script,ต้นฉบับ,
Sender,ผู้ส่ง,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Settings,การตั้งค่า,
Source,แหล่ง,
Source Name,แหล่งที่มาของชื่อ,
Start Date,วันที่เริ่มต้น,
Status,สถานะ,
Subject,เรื่อง,
Success,ความสำเร็จ,
System Manager,จัดการระบบ,
Task,งาน,
Template,แบบ,
Title,ชื่อเรื่อง,
Title Field,ชื่อ ฟิลด์,
To User,ถึงผู้ใช้,
Type,ชนิด,
User,ผู้ใช้งาน,
View Website,ดูเว็บไซต์,
list,รายการ,
