API Key,API ကို Key ကို,
API Secret,API ကိုလြှို့ဝှကျ,
Access Token,Access Token,
Action,action,
Action Type,လှုပ်ရှားမှုအမျိုးအစား,
Active,active,
All,အားလုံး,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico extenstion နဲ့ icon တစ်ခုဖိုင်။ အသက် 16 &#39;x 16 ဦး px ဖြစ်သင့်သည်။ တစ် favicon မီးစက်ကိုအသုံးပြုပြီးထုတ်လုပ်။ [favicon-generator.org],
Assignment,တာဝန်ကျတဲ့နေရာ,
Attachments,attachments,
Avatar,avatar,
BCC,BCC,
Basic,အခြေခံပညာ,
CANCELLED,ဖျက်သိမ်း,
CC,CC ကို,
Client ID,client ID ကို,
Client Secret,client လျှို့ဝှက်ချက်,
Columns,ကော်လံ,
Comment,မှတ်ချက်,
Content,content,
Created By,By Created,
DRAFT,မူကြမ်း,
Description,ဖေါ်ပြချက်,
DocType,DocType,
Email,အီးမေး,
Enabled,Enabled,
End Date,အဆုံးနေ့စွဲ,
Error,အမှား,
Facebook,Facebook က,
Failed,Failed,
Filters,စိစစ်မှုများ,
From User,အသုံးပြုသူမှ,
Full Name,နာမည်အပြည့်အစုံ,
Group By,အုပ်စုလိုက်,
Icon,အိုင်ကွန်,
Inactive,မလှုပ်ရှားတတ်သော,
Is Default,ပုံမှန်ဖြစ်,
Is Standard,Standard ဖြစ်ပါသည်,
Kanban,Kanban,
Keyboard Shortcuts,keyboard Shortcuts,
Label,ကပ်တံဆိပ်,
List,စာရင်း,
Location,တည်ရှိမှု,
Mention,ဖော်ပြခြင်း,
Message,မက်ဆေ့ခ်ျ,
Name,နာမကို,
New,အသစ်,
Phone,Phone များ,
Public,ပြည်သူ့ကျန်းမာရေး,
Pull,ဆွဲပါ,
Push,တွန်းထိုး,
Read,ဖတ်,
Recipients,လက်ခံသူများ,
Reference Doctype,ကိုးကားစရာ Doctype,
Refresh Token,Refresh တိုကင်,
Rejected,ပယ်ချ,
Reload,Reload ကို,
Sales Manager,အရောင်းမန်နေဂျာ,
Sales User,အရောင်းအသုံးပြုသူတို့၏,
Script,script,
Sender,ပေးပို့သူ,
Session Defaults,session Defaults ကို,
Settings,Settings ကို,
Source,အရင်းအမြစ်,
Source Name,source အမည်,
Start Date,စတင်သည့်ရက်စွဲ,
Status,အဆင့်အတန်း,
Subject,ဘာသာရပ်,
Success,အောင်မြင်သည်,
System Manager,system Manager က,
Task,လုပ်ငန်း,
Template,template,
Title,ဘှဲ့,
Title Field,ခေါင်းစဉ်ဖျော်ဖြေမှု,
To User,အသုံးပြုသူမှ,
Type,ပုံစံ,
User,အသုံးပြုသူကို,
View Website,view ဝက်ဘ်ဆိုက်,
list,စာရင်း,
