API Key,API ಕೀ,
API Secret,API ಸೀಕ್ರೆಟ್,
Access Token,ಪ್ರವೇಶ ಟೋಕನ್,
Action,ಕ್ರಿಯೆ,
Action Type,ಕ್ರಿಯೆಯ ಪ್ರಕಾರ,
Active,ಕ್ರಿಯಾಶೀಲ,
All,ಎಲ್ಲಾ,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico ವಿಸ್ತರಣೆ ಐಕಾನ್ ಕಡತ. 16 X 16 px ಇರಬೇಕು. ಒಂದು ಫೆವಿಕಾನ್ ಜನರೇಟರ್ ಬಳಸಿ ಉತ್ಪಾದಿಸಲಾಗುತ್ತದೆ. [favicon-generator.org],
Assignment,ನಿಯೋಜನೆ,
Attachments,ಲಗತ್ತುಗಳು,
Avatar,ಅವತಾರ,
BCC,ಬಿಸಿಸಿ,
Basic,ಮೂಲಭೂತ,
CANCELLED,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ,
CC,ಸಿಸಿ,
Client ID,ಕ್ಲೈಂಟ್ ID,
Client Secret,ಕ್ಲೈಂಟ್ ರಹಸ್ಯ,
Columns,ಅಂಕಣ,
Comment,ಕಾಮೆಂಟ್ ಮಾಡಿ,
Content,ವಿಷಯ,
Created By,ದಾಖಲಿಸಿದವರು,
DRAFT,ಡ್ರಾಫ್ಟ್,
Description,ವಿವರಣೆ,
DocType,ಡಾಕ್ಟೈಪ್,
Email,ಇಮೇಲ್,
Enabled,ಶಕ್ತಗೊಂಡಿದೆ,
End Date,ಅಂತಿಮ ದಿನಾಂಕ,
Error,ದೋಷ,
Facebook,ಫೇಸ್ಬುಕ್,
Failed,ವಿಫಲವಾಗಿದೆ,
Filters,ಶೋಧಕಗಳು,
From User,ಬಳಕೆದಾರರಿಂದ,
Full Name,ಪೂರ್ಣ ಹೆಸರು,
Group By,ಗುಂಪು,
Icon,ಐಕಾನ್,
Inactive,ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ,
Is Default,ಡೀಫಾಲ್ಟ್,
Is Standard,ಸ್ಟ್ಯಾಂಡರ್ಡ್,
Kanban,ಕನ್ಬನ್,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Label,ಚೀಟಿ,
List,ಪಟ್ಟಿ,
Location,ಸ್ಥಳ,
Mention,ಉಲ್ಲೇಖಿಸಿ,
Message,ಸಂದೇಶ,
Name,ಹೆಸರು,
New,ಹೊಸದು,
Phone,ದೂರವಾಣಿ,
Public,ಸಾರ್ವಜನಿಕ,
Pull,ಪುಲ್,
Push,ಪುಶ್,
Read,ಓದು,
Recipients,ಸ್ವೀಕೃತದಾರರ,
Reference Doctype,ರೆಫರೆನ್ಸ್ doctype,
Refresh Token,ರಿಫ್ರೆಶ್ ಟೋಕನ್,
Rejected,ತಿರಸ್ಕರಿಸಲಾಗಿದೆ,
Reload,ರೀಲೋಡ್,
Sales Manager,ಸೇಲ್ಸ್ ಮ್ಯಾನೇಜರ್,
Sales User,ಮಾರಾಟ ಬಳಕೆದಾರ,
Script,ಸ್ಕ್ರಿಪ್ಟ್,
Sender,ಪ್ರೇಷಕ,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
Settings,ಸೆಟ್ಟಿಂಗ್ಗಳು,
Source,ಮೂಲ,
Source Name,ಮೂಲ ಹೆಸರು,
Start Date,ಪ್ರಾರಂಭ ದಿನಾಂಕ,
Status,ಅಂತಸ್ತು,
Subject,ವಿಷಯ,
Success,ಯಶಸ್ಸು,
System Manager,ವ್ಯವಸ್ಥೆ ಮ್ಯಾನೇಜರ್,
Task,ಟಾಸ್ಕ್,
Template,ಟೆಂಪ್ಲೇಟು,
Title,ಶೀರ್ಷಿಕೆ,
Title Field,ಶೀರ್ಷಿಕೆ ಫೀಲ್ಡ್,
To User,ಬಳಕೆದಾರರಿಗೆ,
Type,ದರ್ಜೆ,
User,ಬಳಕೆದಾರ,
View Website,ವೀಕ್ಷಿಸಿ ವೆಬ್ಸೈಟ್,
list,ಪಟ್ಟಿ,
