API Key,API விசை,
API Secret,API இரகசிய,
Access Token,அணுகல் டோக்கன்,
Action,செயல்,
Action Type,செயல் வகை,
Active,செயலில்,
All,எல்லாம்,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico நீட்டிப்பு ஒரு ஐகான் கோப்பு. 16 x 16 px இருக்க வேண்டும். ஒரு ஃபேவிகானை ஜெனரேட்டர் பயன்படுத்தி உருவாக்கப்பட்டது. [Favicon-generator.org],
Assignment,மதிப்பளித்தல்,
Attachments,இணைப்புகள்,
Avatar,சின்னம்,
BCC,BCC,
Basic,அடிப்படையான,
CANCELLED,ரத்து,
CC,சிசி,
Client ID,வாடிக்கையாளர் ஐடி,
Client Secret,வாடிக்கையாளர் இரகசியம்,
Columns,பத்திகள்,
Comment,கருத்து,
Content,உள்ளடக்கம்,
Created By,மூலம் உருவாக்கப்பட்டது,
DRAFT,காற்று வீச்சு,
Description,விளக்கம்,
DocType,டாக் டைப்,
Email,மின்னஞ்சல்,
Enabled,இயலுமைப்படுத்த,
End Date,இறுதி நாள்,
Error,பிழை,
Facebook,முகபுத்தகம்,
Failed,தோல்வி,
Filters,வடிகட்டிகள்,
From User,பயனரிடமிருந்து,
Full Name,முழு பெயர்,
Group By,குழு மூலம்,
Icon,ஐகான்,
Inactive,செயல்படா,
Is Default,இயல்புநிலை,
Is Standard,ஸ்டாண்டர்ட் உள்ளது,
Kanban,கான்பன்,
Keyboard Shortcuts,விசைப்பலகை குறுக்குவழிகள்,
Label,சிட்டை,
List,பட்டியலில்,
Location,இடம்,
Mention,குறிக்கப்பட்டது,
Message,செய்தி,
Name,பெயர்,
New,புதியது,
Phone,தொலைபேசி,
Public,பொது,
Pull,இழு,
Push,புஷ்,
Read,வாசிக்க,
Recipients,பெறுநர்கள்,
Reference Doctype,குறிப்பு Doctype,
Refresh Token,புதுப்பிப்பு டோக்கன்,
Rejected,நிராகரிக்கப்பட்டது,
Reload,Reload,
Sales Manager,விற்பனை மேலாளர்,
Sales User,விற்பனை பயனர்,
Script,ஸ்கிரிப்ட்,
Sender,அனுப்புபவர்,
Session Defaults,அமர்வு இயல்புநிலைகள்,
Settings,அமைப்புகள்,
Source,மூல,
Source Name,மூல பெயர்,
Start Date,தொடக்க தேதி,
Status,அந்தஸ்து,
Subject,பொருள்,
Success,வெற்றி,
System Manager,கணினி மேலாளர்,
Task,பணி,
Template,டெம்ப்ளேட்,
Title,தலைப்பு,
Title Field,தலைப்பு புலம்,
To User,பயனருக்கு,
Type,மாதிரி,
User,பயனர்,
View Website,இணையத்தளம் பார்வையிட,
list,பட்டியல்,
