API Key,API കീ,
API Secret,എപിഐ രഹസ്യം,
Access Token,അക്സസ് ടോക്കൺ,
Action,ആക്ഷൻ,
Action Type,പ്രവർത്തന തരം,
Active,സജീവ,
All,എല്ലാം,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico എക്സ്റ്റെൻഷനുമായി ഒരു ഐക്കൺ ഫയൽ. 16 x 16 ബിന്ദു ഉണ്ടായിരിക്കണം. ഒരു ഫേവൈകോൺ ജനറേറ്റർ ഉപയോഗിച്ച് നിർമ്മിത. [favicon-generator.org],
Assignment,ചുമതല,
Attachments,അറ്റാച്മെന്റ്,
Avatar,അവതാർ,
BCC,ബിസിസി,
Basic,അടിസ്ഥാന,
CANCELLED,റദ്ദാക്കി,
CC,സിസി,
Client ID,ക്ലയന്റ് ഐഡി,
Client Secret,ക്ലയന്റ് രഹസ്യം,
Columns,നിരകൾ,
Comment,അഭിപ്രായം,
Content,ഉള്ളടക്കം,
Created By,ഉണ്ടാക്കിയത്,
DRAFT,ഡ്രാഫ്റ്റ്,
Description,വിവരണം,
DocType,ഡോക്‌ടൈപ്പ്,
Email,ഇമെയിൽ,
Enabled,പ്രാപ്തമാക്കി,
End Date,അവസാന ദിവസം,
Error,പിശക്,
Facebook,ഫേസ്,
Failed,പരാജയപ്പെട്ടു,
Filters,ഫിൽട്ടറുകൾ,
From User,ഉപയോക്താവിൽ നിന്ന്,
Full Name,പൂർണ്ണമായ പേര്,
Group By,ഗ്രൂപ്പ് പ്രകാരം,
Icon,ഐക്കൺ,
Inactive,നിഷ്ക്രിയം,
Is Default,സ്വതവേ,
Is Standard,സ്റ്റാൻഡേർഡ് Is,
Kanban,Kanban,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Label,ലേബൽ,
List,പട്ടിക,
Location,സ്ഥാനം,
Mention,പരാമർശിക്കുക,
Message,സന്ദേശം,
Name,പേര്,
New,പുതിയത്,
Phone,ഫോൺ,
Public,പബ്ലിക്,
Pull,വലിക്കുക,
Push,തള്ളുക,
Read,വായിക്കുക,
Recipients,സ്വീകർത്താക്കൾ,
Reference Doctype,റഫറൻസ് DocType,
Refresh Token,പുതുക്കുക ടോക്കൺ,
Rejected,നിരസിച്ചു,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
Sales Manager,സെയിൽസ് മാനേജർ,
Sales User,സെയിൽസ് ഉപയോക്താവ്,
Script,സ്ക്രിപ്റ്റ്,
Sender,അയച്ചയാളുടെ,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
Settings,ക്രമീകരണങ്ങൾ,
Source,ഉറവിടം,
Source Name,ഉറവിട പേര്,
Start Date,തുടങ്ങുന്ന ദിവസം,
Status,അവസ്ഥ,
Subject,വിഷയം,
Success,വിജയം,
System Manager,സിസ്റ്റം മാനേജർ,
Task,ടാസ്ക്,
Template,ഫലകം,
Title,ശീർഷകം,
Title Field,ടൈറ്റിൽ ഫീൽഡ്,
To User,ഉപയോക്താവിന്,
Type,തരം,
User,ഉപയോക്താവ്,
View Website,വെബ്സൈറ്റ് കാണുക,
list,പട്ടിക,
