API Key,Key API,
API Secret,API Secret,
Access Token,ການເຂົ້າເຖິງ Token,
Action,ການປະຕິບັດ,
Action Type,ປະເພດການປະຕິບັດງານ,
Active,ການເຄື່ອນໄຫວ,
All,ທັງ ໝົດ,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],ເປັນ file icon ມີການຂະຫຍາຍ໌ ico. ຄວນຈະເປັນ 16 x 16 px. ສ້າງຂຶ້ນໂດຍໃຊ້ໂດຍທົ່ວໄປ favicon ເປັນ. [favicon-generator.org],
Assignment,ການມອບຫມາຍ,
Attachments,ໄຟລ໌ແນບ,
Avatar,Avatar,
BCC,BCC,
Basic,ພື້ນຖານ,
CANCELLED,ຍົກເລີກ,
CC,CC,
Client ID,ລະຫັດລູກຄ້າ,
Client Secret,Secret Client,
Columns,ຄໍລໍາ,
Comment,ຄຳ ເຫັນ,
Content,ເນື້ອໃນ,
Created By,ສ້າງໂດຍ,
DRAFT,Draft,
Description,ລາຍລະອຽດ,
DocType,DocType,
Email,ອີເມລ,
Enabled,ເປີດການໃຊ້ງານ,
End Date,ວັນທີ່ສິ້ນສຸດ,
Error,Error,
Facebook,ເຟສບຸກ,
Failed,ສົບຜົນສໍາເລັດ,
Filters,ການກັ່ນຕອງ,
From User,ຈາກຜູ້ໃຊ້,
Full Name,ຊື່ເຕັມ,
Group By,ກຸ່ມໂດຍ,
Icon,ໄອຄອນ,
Inactive,Inactive,
Is Default,ແມ່ນມາດຕະຖານ,
Is Standard,ແມ່ນມາດຕະຖານ,
Kanban,Kanban,
Keyboard Shortcuts,ຄີບອດ,
Label,Label,
List,ບັນຊີລາຍຊື່,
Location,ສະຖານທີ່,
Mention,ກ່າວເຖິງ,
Message,ຂໍ້ຄວາມ,
Name,ຊື່,
New,ໃຫມ່,
Phone,ໂທລະສັບ,
Public,ສາທາລະນະ,
Pull,ດຶງ,
Push,Push,
Read,ອ່ານ,
Recipients,ຜູ້ຮັບ,
Reference Doctype,DocType ກະສານອ້າງອີງ,
Refresh Token,Refresh Token,
Rejected,ປະຕິເສດ,
Reload,ໂຫລດ,
Sales Manager,ຜູ້ຈັດການຝ່າຍຂາຍ,
Sales User,User ຂາຍ,
Script,script,
Sender,ຜູ້ສົ່ງ,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Settings,ການຕັ້ງຄ່າ,
Source,ແຫຼ່ງຂໍ້ມູນ,
Source Name,ແຫຼ່ງຊື່,
Start Date,ວັນທີ່ເລີ່ມ,
Status,ສະຖານະພາບ,
Subject,Subject,
Success,ຄວາມສໍາເລັດ,
System Manager,ຈັດການລະບົບ,
Task,ວຽກງານ,
Template,ແມ່ແບບ,
Title,Title,
Title Field,ຫົວຂໍ້ພາກສະຫນາມ,
To User,ເພື່ອຜູ້ໃຊ້,
Type,ປະເພດ,
User,ຜູ້ໃຊ້,
View Website,ເບິ່ງເວັບໄຊທ໌,
list,ບັນຊີລາຍຊື່,
