API Key,API 密钥,
API Secret,API 密钥,
About,关于,
Access Token,访问令牌,
Action,操作,
Action Type,操作类型,
Active,活动,
All,全部,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico 格式的图标文件，应为 16 x 16 像素。可通过 favicon 生成器生成。[favicon-generator.org],
Apply To,应用于,
Apps,应用,
Assignment,分配任务,
Attachments,附件集,
Avatar,头像,
BCC,密送,
Basic,基础,
CANCELLED,已取消,
CC,抄送,
Campaign,营销活动,
Client ID,客户端ID,
Client Secret,客户端密钥,
Columns,列,
Comment,评论,
Content,内容,
Created At,创建于,
Created By,创建人,
DRAFT,草稿,
Description,描述,
DocType,文档类型,
Email,电子邮件,
Enabled,已启用,
End Date,结束日期,
Error,错误,
Facebook,Facebook,
Failed,失败,
Filters,过滤器,
Form,表单,
Frappe Support,Frappe支持,
From User,来自用户,
Full Name,全名,
Group By,分组依据,
Icon,图标,
Inactive,未激活,
Is Default,是否为默认,
Is Standard,是否标准,
Kanban,看板,
Keyboard Shortcuts,键盘快捷键,
Label,标签,
List,列表,
Location,位置,
Log out,注销,
Mention,@提及,
Message,消息,
My Profile,我的档案,
My Settings,我的设置,
Name,名称,
New,新建,
Phone,电话,
Public,公共,
Pull,下拉,
Push,推送,
Read,读取,
Recipients,收件人列表,
Reference Doctype,参考文档类型,
Refresh Token,刷新令牌,
Rejected,已拒绝,
Reload,重新加载,
Result,结果,
Sales Manager,销售经理,
Sales User,销售用户,
Script,脚本,
Sender,发件人,
Session Defaults,会话默认值,
Settings,设置,
Source,源,
Source Name,来源名称,
Start Date,开始日期,
Status,状态,
Subject,主题,
Success,成功,
System Manager,系统管理员,
Task,任务,
Template,模板,
Title,标题,
Title Field,标题字段,
To User,接收用户,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
Type,类型,
User,用户,
View Website,查看网站,
list,列表,
