API Key,API కీ,
API Secret,API సీక్రెట్,
Access Token,ప్రాప్తి టోకెన్,
Action,యాక్షన్,
Action Type,చర్య రకం,
Active,Active,
All,ALL,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico పొడిగింపుతో ఒక ఐకాన్ ఫైల్. 16 x 16 px ఉండాలి. ఒక ఇష్టాంశ చిహ్నం జెనరేటర్ ఉపయోగించి ఉత్పత్తి. [favicon-generator.org],
Assignment,అసైన్మెంట్,
Attachments,అటాచ్మెంట్లు,
Avatar,Avatar,
BCC,BCC,
Basic,ప్రాథమిక,
CANCELLED,రద్దయింది,
CC,సిసి,
Client ID,క్లయింట్ ID,
Client Secret,క్లయింట్ సీక్రెట్,
Columns,లు,
Comment,వ్యాఖ్య,
Content,కంటెంట్,
Created By,రూపొందించినవారు,
DRAFT,డ్రాఫ్ట్,
Description,వివరణ,
DocType,DOCTYPE,
Email,ఇమెయిల్,
Enabled,ప్రారంభించబడ్డ,
End Date,ముగింపు తేదీ,
Error,లోపం,
Facebook,ఫేస్బుక్,
Failed,విఫలమైంది,
Filters,వడపోతలు,
From User,వినియోగదారు నుండి,
Full Name,పూర్తి పేరు,
Group By,గ్రూప్ బై,
Icon,ఐకాన్,
Inactive,క్రియారహిత,
Is Default,డిఫాల్టు,
Is Standard,ప్రమాణం,
Kanban,కంబన్,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Label,లేబుల్,
List,జాబితా,
Location,నగర,
Mention,మెన్షన్,
Message,సందేశం,
Name,పేరు,
New,న్యూ,
Phone,ఫోన్,
Public,పబ్లిక్,
Pull,పుల్,
Push,పుష్,
Read,చదువు,
Recipients,గ్రహీతలు,
Reference Doctype,సూచన DOCTYPE,
Refresh Token,రిఫ్రెష్ టోకెన్,
Rejected,తిరస్కరించబడిన,
Reload,Reload,
Sales Manager,అమ్మకాల నిర్వాహకుడు,
Sales User,సేల్స్ వాడుకరి,
Script,స్క్రిప్ట్,
Sender,పంపినవారు,
Session Defaults,సెషన్ డిఫాల్ట్‌లు,
Settings,సెట్టింగులు,
Source,మూల,
Source Name,మూలం పేరు,
Start Date,ప్రారంబపు తేది,
Status,స్థితి,
Subject,Subject,
Success,విజయం,
System Manager,వ్యవస్థ మేనేజర్,
Task,టాస్క్,
Template,మూస,
Title,శీర్షిక,
Title Field,శీర్షిక ఫీల్డ్,
To User,వినియోగదారుకు,
Type,రకం,
User,వాడుకరి,
View Website,చూడండి వెబ్సైట్,
list,జాబితా,
