API Key,एपीआय किल्ली,
API Secret,एपीआय गुपित,
Access Token,प्रवेश टोकन,
Action,क्रिया,
Action Type,क्रिया प्रकार,
Active,सक्रिय,
All,सर्व,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico विस्तारासह प्रतीक फाइल .  16 x 16 px पाहिजे. एक फेविकॉन वीज वापरने  निर्माण झाला. [ Favicon-generator.org ],
Assignment,नेमणूक,
Attachments,संलग्नक,
Avatar,अवतार,
BCC,बीसीसी,
Basic,मूलभूत,
CANCELLED,रद्द,
CC,सीसी,
Client ID,क्लायंट ID,
Client Secret,क्लायंट गुपित,
Columns,स्तंभ,
Comment,टिप्पणी,
Content,सामग्री,
Created By,करून तयार,
DRAFT,मसुदा,
Description,वर्णन,
DocType,डॉकटाइप,
Email,ई-मेल,
Enabled,सक्षम,
End Date,शेवटची तारीख,
Error,त्रुटी,
Facebook,फेसबुक,
Failed,अयशस्वी,
Filters,फिल्टर,
From User,वापरकर्त्याकडून,
Full Name,पूर्ण नाव,
Group By,ग्रुप बाय,
Icon,चिन्ह,
Inactive,निष्क्रिय,
Is Default,मुलभूत आहे,
Is Standard,मानक आहे,
Kanban,Kanban,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Label,लेबल,
List,यादी,
Location,स्थान,
Mention,उल्लेख करा,
Message,संदेश,
Name,नाव,
New,नवीन,
Phone,फोन,
Public,सार्वजनिक,
Pull,खेचणे,
Push,पुश करा,
Read,वाचा,
Recipients,प्राप्तकर्ता,
Reference Doctype,संदर्भ DocType,
Refresh Token,रिफ्रेश टोकन,
Rejected,नाकारल्याचे,
Reload,रीलोड करा,
Sales Manager,विक्री व्यवस्थापक,
Sales User,विक्री सदस्य,
Script,स्क्रिप्ट,
Sender,प्रेषक,
Session Defaults,सत्र डीफॉल्ट,
Settings,सेटिंग्ज,
Source,स्रोत,
Source Name,स्रोत नाव,
Start Date,प्रारंभ तारीख,
Status,स्थिती,
Subject,विषय,
Success,यश,
System Manager,प्रणाली व्यवस्थापक,
Task,कार्य,
Template,साचा,
Title,शीर्षक,
Title Field,शीर्षक फील्ड,
To User,वापरकर्त्यास,
Type,प्रकार,
User,वापरकर्ता,
View Website,वेबसाइट पहा,
list,यादी,
