API Key,API کلیدي,
API Secret,API پټې,
Access Token,د لاسرسي د نښې,
Action,کړنه,
Action Type,د عمل ډول,
Active,د فعالو,
All,ټول,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],سره .ico د ترویج لپاره انځورن دوتنې. باید د 16 x 16 px. تولید یو favicon جنراتور کاروي. [favicon-generator.org],
Assignment,دندې,
Attachments,ضم,
Avatar,معلومات,
BCC,BCC,
Basic,د اساسي,
CANCELLED,لغوه شوی,
CC,CC,
Client ID,د مراجع د تذکرو,
Client Secret,د مراجع د پټې,
Columns,ستونونه,
Comment,څرګندونه,
Content,منځپانګه,
Created By,ايجاد By,
DRAFT,مسوده,
Description,Description,
DocType,دډاکټ ډول,
Email,بریښنالیک,
Enabled,وتوانول شوه,
End Date,د پای نیټه,
Error,تېروتنه,
Facebook,Facebook,
Failed,کې پاتې راغی,
Filters,چاڼګرونه,
From User,د کارونکي څخه,
Full Name,پوره نوم,
Group By,ډله په,
Icon,شبیه,
Inactive,غیر فعال,
Is Default,ده Default,
Is Standard,آیا د معياري,
Kanban,Kanban,
Keyboard Shortcuts,کيلي لنډلار,
Label,لیبل,
List,بشپړفهرست,
Location,د ځای,
Mention,ذکر کول,
Message,پیغام,
Name,نوم,
New,نوی,
Phone,تيليفون,
Public,د عامې,
Pull,کشول,
Push,ټیله کول,
Read,ادامه,
Recipients,اخیستونکو,
Reference Doctype,ماخذ DocType,
Refresh Token,تاندول د نښې,
Rejected,رد,
Reload,Reload,
Sales Manager,خرڅلاو مدير,
Sales User,خرڅلاو کارن,
Script,د ښونکی,
Sender,استوونکی,
Session Defaults,د ناستې ټاکل,
Settings,امستنې,
Source,سرچینه,
Source Name,سرچینه نوم,
Start Date,پیل نېټه,
Status,وضعیت,
Subject,مضمون,
Success,بریا,
System Manager,سيستم مدير,
Task,کاري,
Template,کينډۍ,
Title,نوم,
Title Field,عنوان ساحوي,
To User,کارونکي ته,
Type,ډول,
User,کارن,
View Website,محتویات وېب پاڼه,
list,لیست,
