API Key,Key API,
API Secret,API Secret,
Access Token,Têketinê Token,
Action,Çalakî,
Action Type,Cureya Actionalakiyê,
Active,Jîr,
All,Gişt,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],An file icon bi .ico extension. Divê be 16 x 16 px. Bi giştî bi bikaranîna a generator favicon. [Favicon-generator.org],
Assignment,Danî,
Attachments,Attachments,
Avatar,Avatar,
BCC,BCC,
Basic,Bingehîn,
CANCELLED,Hilandin,
CC,CC,
Client ID,ID Client,
Client Secret,Client Secret,
Columns,Stûn,
Comment,Agahkişîn,
Content,Dilşad,
Created By,created By,
DRAFT,pêşnûma,
Description,Terîf,
DocType,DocType,
Email,Email,
Enabled,çalake,
End Date,Date End,
Error,Şaşî,
Facebook,facebook,
Failed,bi ser neket,
Filters,Parzûn,
From User,Ji Bikarhêner,
Full Name,Navê tam,
Group By,Koma By,
Icon,Îkon,
Inactive,Bêkar,
Is Default,e Default,
Is Standard,e Standard,
Kanban,Kanban,
Keyboard Shortcuts,Kurtikên Pêl,
Label,Awanasî,
List,Rêzok,
Location,Cîh,
Mention,Qalkirin,
Message,Agah,
Name,Nav,
New,Nşh,
Phone,Phone,
Public,Alenî,
Pull,Kişandin,
Push,Lêqellibînî,
Read,Xwendin,
Recipients,Kesên,
Reference Doctype,Doctype Reference,
Refresh Token,Refresh Token,
Rejected,red,
Reload,Rûpelê,
Sales Manager,Manager Sales,
Sales User,Sales Bikarhêner,
Script,Nivîs,
Sender,virrêkerî,
Session Defaults,Session Defaults,
Settings,Mîhengên,
Source,Kanî,
Source Name,Navê Source,
Start Date,Destpêk Date,
Status,Cî,
Subject,Mijar,
Success,Serketinî,
System Manager,sîstema Manager,
Task,Karî,
Template,Şablon,
Title,Nav,
Title Field,title Field,
To User,Bikarhêner,
Type,Awa,
User,Bikaranîvan,
View Website,View Website,
list,rêzok,
