API Key,API Key,
API Secret,API Secret,
Access Token,Qasja Token,
Action,Veprim,
Action Type,Lloji i veprimit,
Active,Aktiv,
All,ALL,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Një ikonë skedar me .ico extension. Duhet të jetë 16 x 16 px. Prodhuar duke përdorur një gjenerator Favicon. [favicon-generator.org],
Assignment,detyrë,
Attachments,Attachments,
Avatar,Avatar,
BCC,BCC,
Basic,themelor,
CANCELLED,Anullohen,
CC,CC,
Client ID,ID klienti,
Client Secret,klienti Secret,
Columns,Columns,
Comment,koment,
Content,I kënaqur,
Created By,Krijuar nga,
DRAFT,Draft,
Description,Përshkrim,
DocType,DOCTYPE,
Email,Email,
Enabled,Aktivizuar,
End Date,End Date,
Error,Gabim,
Facebook,Facebook,
Failed,I dështuar,
Filters,Filtra,
From User,Nga Përdoruesi,
Full Name,Emri i plotë,
Group By,Grupi Nga,
Icon,ikonë,
Inactive,joaktiv,
Is Default,Është e albumit,
Is Standard,Është standard,
Kanban,kanban,
Keyboard Shortcuts,Shkurtoret e tastierës,
Label,Etiketë,
List,Listë,
Location,Vend,
Mention,Përmendja,
Message,mesazh,
Name,Emër,
New,I ri,
Phone,Telefon,
Public,Publik,
Pull,Tërhiqe,
Push,shtytje,
Read,Lexoj,
Recipients,Marrësit,
Reference Doctype,DOCTYPE Referenca,
Refresh Token,Refresh Token,
Rejected,Refuzuar,
Reload,Rifresko,
Sales Manager,Sales Manager,
Sales User,Sales i përdoruesit,
Script,Dorëshkrim,
Sender,Dërgues,
Session Defaults,Default Seanca,
Settings,Cilësimet,
Source,Burim,
Source Name,burimi Emri,
Start Date,Data e Fillimit,
Status,Gjendje,
Subject,Subjekt,
Success,Sukses,
System Manager,Sistemi Menaxher,
Task,detyrë,
Template,Shabllon,
Title,titull,
Title Field,Titulli Fusha,
To User,Përdoruesit,
Type,Lloj,
User,përdorues,
View Website,Shikoni faqen e internetit,
list,listë,
