API Key,API કી,
API Secret,API સિક્રેટ,
Access Token,ઍક્સેસ ટોકન,
Action,ક્રિયા,
Action Type,ક્રિયા પ્રકાર,
Active,સક્રિય,
All,બધા,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico વિસ્તરણ સાથે ચિહ્ન ફાઇલ. 16 x 16 px પ્રયત્ન કરીશું. એક ફેવિકોન જનરેટર મદદથી પેદા થાય છે. [Favicon-generator.org],
Assignment,સોંપણી,
Attachments,જોડાણો,
Avatar,અવતાર,
BCC,બીસીસી,
Basic,મૂળભૂત,
CANCELLED,રદ,
CC,સીસી,
Client ID,ક્લાઇન્ટ ID,
Client Secret,ક્લાઈન્ટ સિક્રેટ,
Columns,કૉલમ,
Comment,ટિપ્પણી,
Content,સામગ્રી,
Created By,દ્વારા બનાવવામાં,
DRAFT,ડ્રાફ્ટ,
Description,વર્ણન,
DocType,ડ Docકટાઇપ,
Email,ઇમેઇલ,
Enabled,સક્ષમ,
End Date,સમાપ્તિ તારીખ,
Error,ભૂલ,
Facebook,ફેસબુક,
Failed,નિષ્ફળ,
Filters,ગાળકો,
From User,વપરાશકર્તા પાસેથી,
Full Name,આખુ નામ,
Group By,જૂથ દ્વારા,
Icon,ચિહ્ન,
Inactive,નિષ્ક્રિય,
Is Default,મૂળભૂત છે,
Is Standard,ધોરણ છે,
Kanban,Kanban,
Keyboard Shortcuts,કીબોર્ડ શૉર્ટકટ્સ,
Label,લેબલ,
List,યાદી,
Location,સ્થાન,
Mention,ઉલ્લેખ કરો,
Message,સંદેશ,
Name,નામ,
New,નવું,
Phone,ફોન,
Public,જાહેર,
Pull,ખેંચો,
Push,દબાણ કરો,
Read,વાંચો,
Recipients,મેળવનારા,
Reference Doctype,સંદર્ભ Doctype,
Refresh Token,પુનઃતાજું ટોકન,
Rejected,નકારેલું,
Reload,ફરી લાવો,
Sales Manager,વેચાણ મેનેજર,
Sales User,સેલ્સ વપરાશકર્તા,
Script,સ્ક્રિપ્ટ,
Sender,પ્રેષક,
Session Defaults,સત્ર ડિફોલ્ટ્સ,
Settings,સેટિંગ્સ,
Source,સોર્સ,
Source Name,સોર્સ નામ,
Start Date,પ્રારંભ તારીખ,
Status,સ્થિતિ,
Subject,વિષય,
Success,સફળતા,
System Manager,સિસ્ટમ વ્યવસ્થાપક,
Task,ટાસ્ક,
Template,ઢાંચો,
Title,શીર્ષક,
Title Field,શીર્ષક ક્ષેત્ર,
To User,વપરાશકર્તા માટે,
Type,પ્રકાર,
User,વપરાશકર્તા,
View Website,વેબસાઇટ જુઓ,
list,યાદી,
