API Key,API কী,
API Secret,এপিআই সিক্রেট,
Access Token,অ্যাক্সেস টোকেন,
Action,কর্ম,
Action Type,ক্রিয়া প্রকার,
Active,সক্রিয়,
All,সব,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico এক্সটেনশন সঙ্গে একটি আইকন ফাইল. 16 X 16 px এর হতে হবে. একটি ফেভিকন জেনারেটর ব্যবহার করে তৈরি করা. [Favicon-generator.org],
Assignment,কাজ,
Attachments,সংযুক্তি,
Avatar,অবতার,
BCC,বিসিসি,
Basic,মৌলিক,
CANCELLED,বাতিল হয়েছে,
CC,সিসি,
Client ID,ক্লায়েন্ট আইডি,
Client Secret,ক্লায়েন্ট সিক্রেট,
Columns,কলাম,
Comment,মন্তব্য,
Content,বিষয়বস্তু,
Created By,দ্বারা নির্মিত,
DRAFT,খসড়া,
Description,বিবরণ,
DocType,DOCTYPE,
Email,EMail,
Enabled,সক্রিয়,
End Date,শেষ তারিখ,
Error,ভুল,
Facebook,ফেসবুক,
Failed,ব্যর্থ,
Filters,ফিল্টার,
From User,ব্যবহারকারী থেকে,
Full Name,পুরো নাম,
Group By,গ্রুপ দ্বারা,
Icon,আইকন,
Inactive,নিষ্ক্রিয়,
Is Default,ডিফল্ট মান হল,
Is Standard,মান,
Kanban,Kanban,
Keyboard Shortcuts,কীবোর্ড শর্টকাটগুলি,
Label,লেবেল,
List,তালিকা,
Location,অবস্থান,
Mention,উল্লেখ,
Message,বার্তা,
Name,নাম,
New,নতুন,
Phone,ফোন,
Public,প্রকাশ্য,
Pull,টান,
Push,ধাক্কা,
Read,পড়া,
Recipients,প্রাপক,
Reference Doctype,রেফারেন্স DOCTYPE,
Refresh Token,সুদ্ধ করুন টোকেন,
Rejected,প্রত্যাখ্যাত,
Reload,পুনরায় লোড করুন,
Sales Manager,বিক্রয় ব্যবস্থাপক,
Sales User,সেলস ব্যবহারকারী,
Script,লিপি,
Sender,প্রেরকের,
Session Defaults,সেশন ডিফল্ট,
Settings,সেটিংস,
Source,উত্স,
Source Name,উত্স নাম,
Start Date,শুরুর তারিখ,
Status,অবস্থা,
Subject,বিষয়,
Success,সাফল্য,
System Manager,সিস্টেম ম্যানেজার,
Task,কার্য,
Template,টেমপ্লেট,
Title,খেতাব,
Title Field,শিরোনাম মাঠ,
To User,ব্যবহারকারীকে,
Type,শ্রেণী,
User,ব্যবহারকারী,
View Website,ওয়েবসাইট দেখুন,
list,তালিকা,
