API Key,АПИ кључ,
API Secret,АПИ за Тајна,
Access Token,Приступ токен,
Action,Акција,
Action Type,Тип радње,
Active,Активан,
All,Све,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Икона датотеке са екстензијом .ицо. Требало би да буде 16 к 16 пк. Генератед користећи Фавицон Генератор. [фавицон-генератор.орг],
Assignment,Додељивање,
Attachments,Прилози,
Avatar,Аватар,
BCC,БЦЦ,
Basic,основной,
CANCELLED,Отказан,
CC,КЗ,
Client ID,ИД клијента,
Client Secret,klijent Тајна,
Columns,kolone,
Comment,Коментирај,
Content,Садржина,
Created By,Креирао,
DRAFT,Драфт,
Description,Опис,
DocType,ДоцТипе,
Email,Емаил,
Enabled,Омогућено,
End Date,Датум завршетка,
Error,Грешка,
Facebook,facebook,
Failed,Није успео,
Filters,Филтери,
From User,Од корисника,
Full Name,Пуно име,
Group By,Група од,
Icon,Ицон,
Inactive,Неактиван,
Is Default,Да ли Уобичајено,
Is Standard,Је стандард,
Kanban,канбан,
Keyboard Shortcuts,Пречице на тастатури,
Label,Налепница,
List,Листа,
Location,расположение,
Mention,Помињање,
Message,Порука,
Name,Име,
New,Нова,
Phone,Телефон,
Public,Јавност,
Pull,Повуците,
Push,Притисни,
Read,Читати,
Recipients,Примаоци,
Reference Doctype,Референтни ДоцТипе,
Refresh Token,рефресх токен,
Rejected,Одбијен,
Reload,Релоад,
Sales Manager,Менаџер продаје,
Sales User,Продаја Корисник,
Script,Скрипта,
Sender,Пошиљалац,
Session Defaults,Задане поставке сесије,
Settings,Подешавања,
Source,Извор,
Source Name,извор Име,
Start Date,Датум почетка,
Status,Статус,
Subject,Предмет,
Success,Успех,
System Manager,Систем менаџер,
Task,Задатак,
Template,Шаблон,
Title,Наслов,
Title Field,Название поля,
To User,Кориснику,
Type,Тип,
User,Усер,
View Website,Погледај Сајт,
list,листа,
